cas,inchi,inchikey,smiles,formula,definition,checked,alw_cname,che_cname,che_id,chl_id,chs_id,drb_id,eea_cname,ein_id,etx_cname,etx_id,ipc_name,puc_cid,wid_cname,wid_id,zvg_id,uii_id
959-98-8,"InChI=1S/C9H6Cl6O3S/c10-5-6(11)8(13)4-2-18-19(16)17-1-3(4)7(5,12)9(8,14)15/h3-4H,1-2H2/t3-,4+,7-,8+,19?",RDYMFSUJUZBWLH-AZVNHNRSSA-N,"","","",,alpha-endosulfan,"","","",29367913,,Alpha-Endosulfan,"","",,"",12309460,"","",,""
0994-05-08,"","","","","",,"","","","",43074,,TAME,"",2-Methoxy-2-methylbutane,35646,"",1550286,TAME,Q1530726,,""
76-13-1,"","","","","",,"","","",CHEMBL478511,6188,,"1,1,2-trichlorotrifluoroethane",200-936-1,"1,1,2-Trichlortrifluorethan",8742,"",6428,"1,1,2-trichlorotrifluoroethane",Q161276,31730,0739N04X3A
25167-83-3,"","","","","",,"","","","",5806,,Tetrachlorophenols,"","",,"",,tetrachlorophenols,Q18028440,,""
15950-66-0,"","","","","",,"","","",CHEMBL1341844,25672,,"2,3,4-Trichlorophenol",240-083-2,"2,3,4-Trichlorphenol",5572,"",27582,"2,3,4-trichlorophenol",Q2024329,129361,8JWE1AV71F
1998-06-06,"","","","","",,"","","",CHEMBL1797277,7088,,tert-butylbenzene,202-632-4,"1,1-Dimethylethyl-benzol",967,"",7366,tert-butylbenzene,Q20950424,570085,M1R2NME7S2
75-71-8,"","","","","",,"","","","",6151,,Dichlorodifluoromethane,"","Methan, Dichlordifluor-",11810,"",6391,Dichlorodifluoromethane,Q21761520,,""
1689-99-2,"InChI=1S/C15H17Br2NO2/c1-2-3-4-5-6-7-14(19)20-15-12(16)8-11(10-18)9-13(15)17/h8-9H,2-7H2,1H3",DQKWXTIYGWPGOO-UHFFFAOYSA-N,"","","",,bromoxynil octanoate,"","",CHEMBL1903970,14777,,Bromoxynil octanoate,216-885-3,"2,6-Dibrom-4-cyanphenyloctanoat",19557,"",15533,bromoxynil octanoate,Q22133404,490340,9HL5XAW9SK
108-41-8,"","","","","",,"","","",CHEMBL1797289,13875230,,3-chlorotoluene,203-580-5,3-Chlortoluol,8733,"",7931,3-chlorotoluene,Q22283423,38740,5K8172K9TT
95-51-2,"","","","","",,"","","",CHEMBL389885,13854248,,2-chloroaniline,202-426-4,2-Chloranilin,8656,"",7240,2-chloroaniline,Q2294431,18780,G14I494T2F
6108-10-07,"","","","","",,"","","","",16736910,,Epsilon-HCH,228-068-9,"",,"",727,epsilon-HCH,Q23014127,,""
141776-32-1,"InChI=1S/C16H18N6O7S2/c1-4-30(24,25)13-14(22-8-6-5-7-10(22)17-13)31(26,27)21-16(23)20-15-18-11(28-2)9-12(19-15)29-3/h5-9H,4H2,1-3H3,(H2,18,19,20,21,23)",RBSXHDIPCIWOMG-UHFFFAOYSA-N,"","","",,sulfosulfuron,"","",CHEMBL2251590,77941,,Sulfosulfuron,604-251-2,"",,"",86426,sulfosulfuron,Q2364499,535077,Y0XC20DL6D
563-58-6,"","","","","",,"","","",CHEMBL1595845,10771,,"1,1-dichloropropene",209-253-3,"",,"",11245,"1,1-dichloropropene",Q24755666,510425,5C5688865R
594-20-7,"","","","","",,"","","",CHEMBL349587,11170,,"2,2-dichloropropane",209-832-0,"",,"",11660,"2,2-dichloropropane",Q25384673,32040,C5V432N6XB
18785-72-3,"","","","","",,"","","","",1085,,Sulphate,"","",,"",1117,sulfate,Q25997675,,""
1336-36-3,"","","","","",,"","","","",,,Polychlorinated biphenyls,"",PCB,7512,"",,Polychlorinated biphenyls,Q26340926,,""
933-78-8,"","","","","",,"","","",CHEMBL1569358,13030,,"2,3,5-trichlorophenol",213-272-2,"2,3,5-Trichlorphenol",3266,"",13619,"2,3,5-trichlorophenol",Q2682869,107928,6T7DUC2C8B
95-87-4,"","","","","",,"","","",CHEMBL192591,13839128,,"2,5-dimethylphenol",202-461-5,"2,5-Dimethylphenol",880,"",7267,"2,5-xylenol",Q26840762,490115,XH3E3564KX
172960-62-2,"","","","","",,"","","","",28290254,,Metazachlor ESA,"","",,"",86290102,metazachlor ESA,Q27156864,,""
152019-73-3,"","","","","",,"","","",CHEMBL3560187,21170688,,Metolachlor OA,690-353-2,"",,"",15842092,metolachlor oa,Q27157057,,V09UDI0MFU
1825-21-4,"","","","","",,"","","",CHEMBL3182755,14993,,Pentachloroanisole,625-770-0,"",,"",15767,pentachloroanisole,Q27251610,,14D125MH3W
609-19-8,"","","","","",,"","","",CHEMBL1484480,11366,,"3,4,5-Trichlorophenol",210-183-0,"3,4,5-Trichlorphenol",2812,"",11859,"3,4,5-trichlorophenol",Q27254825,105831,2JF54EGE7O
16655-82-6,"","","","","",,"","","",CHEMBL1867082,26024,,3-hydroxycarbofuran,625-078-9,"",,"",27975,3-hydroxycarbofuran,Q27268397,,7J7N7A61BJ
1031-07-08,"","","","","",,"","","","",16736500,,Endosulfan sulfate,623-765-8,Endosulfansulfat,7397,"",13940,endosulfan sulfate,Q27270909,,8QTV9M19B2
732-26-3,"","","","","",,"","","",CHEMBL387905,12368,,"2,4,6-tri-tert-butylphenol",211-989-5,"2,4,6-Tris(1,1-dimethylethyl)phenol",9247,"",12902,"2,4,6-tri-tert-butylphenol",Q27272216,,99J2VIC675
85-22-3,"","","","","",,"","","",CHEMBL3560446,6542,,Pentabromoethylbenzene,201-593-0,"",,"",6800,"2,3,4,5,6-pentabromoethylbenzene",Q3899218,490105,697LYO57KP
933-75-5,"","","","","",,"","","",CHEMBL1458681,13029,,"2,3,6-Trichlorophenol",213-271-7,"2,3,6-Trichlorphenol",3265,"",13618,"2,3,6-trichlorophenol",Q4537756,107927,AE2CMR564U
64743-03-9,"","","","","",,"","","","",21106365,,Phenols,"","",,"",,Phenols,Q56624302,,""
59473-04-0,"","","","","",,"","","","",390065,,AOX,"","",,"",441302,AOX,Q61567089,,""
13351-73-0,"","","","","",,"","","","",8381,,Tolyltriazole,249-596-6,"",,"",,tolyltriazole,Q62062010,491063,""
89-21-4,"","","","","",,"","","","",59998,,4-chloro-2-nitroanisole,201-887-9,"",,"",66631,4-Chloro-2-nitroanisole,Q72455670,,""
7085-19-0,"","","","","",,"","","","",6886,,Mecoprop,230-386-8,2-(4-Chlor-2-methylphenoxy)-propionsäure,11641,"",7153,Mecoprop,Q72488299,,""
85535-84-8,"","","","","",,"","","","",,,Chloroalkanes C10-13,287-476-5,"Alkanes, C10-13, chloro",23740,"",,Chloroalkanes C10-13,Q72516955,492006,""
25637-99-4,"","","","","",,"","","","",30614,,"1,3,5,7,9,11-hexabromocyclododecane","","1,2,5,6,9,10-Hexabromcyclododecan",98067,"",33121,"1,3,5,7,9,11-Hexabromocyclododecane",Q81981830,,""
35045-02-4,"","","","","",,"","","","",33978,,Metribuzin-DA,"","",,"",135502804,Metribuzin-DA,Q81985181,,""
