cas,inchi,inchikey,smiles,formula,definition,checked,alw_cname,che_cname,che_id,chl_id,chs_id,drb_id,eea_cname,ein_id,etx_cname,etx_id,ipc_name,puc_cid,wid_cname,wid_id,zvg_id,uii_id
1210-97-5,"","","","","",,"","","","",,,"","","",,"",14057307,"","",,""
121034-85-3,"","","","","",,cymiazole hydrochloride,"","","",,,"","","",,"",,"","",,""
12107-76-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1211-29-6,"","","","","",,"",(-)-methyl jasmonate,CHEBI:15929,"",,,"","","",,"",,"","",,""
121107-43-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
121107-44-6,"","","","","",,"","","","",,,"","","",,"",,"","",,""
121107-46-8,"","","","","",,"","","","",,,"","","",,"",,"","",,""
121107-47-9,"","","","","",,"","","","",,,"","","",,"",,"","",,""
121107-48-0,"","","","","",,"","","","",,,"","","",,"",,"","",,""
121107-65-1,"","","","","",,"","","","",,,"","","",,"",,"","",,""
121107-77-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
121107-83-3,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12111-24-9,"","","","","",,"","","","",,,"","","",,"",,"","",,""
121181-95-1,"","","","","",,"","","","",39512,,"","","",,"",43359,EPIC,Q396072,,""
1212-08-4,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12122-67-7,"","","","","",,zineb,zineb,CHEBI:52498,"",,,"","","",,"",,"","",,""
121228-05-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12124-97-9,"","","","","",,"",ammonium bromide,CHEBI:85364,"",,,"","","",,"",25514,"","",,""
12125-01-8,"","","","","",,"",ammonium fluoride,CHEBI:66871,"",23806,,"","","",,"",25516,ammonium fluoride,Q205374,,""
12125-02-9,"","","","","",,"",ammonium chloride,CHEBI:31206,"",,,"","","",,"",25517,"","",,""
12126-59-9,"","","","","",,"","","","",,,"","","",,"",23676225,"","",,""
12135-13-6,"","","","","",,"","","","",106660,,"","","",,"",119423,"","",,""
12135-76-1,"","","","","",,"","","","",23808,,"","","",,"",,ammonium sulfide,Q416913,,""
12136-45-7,"","","","","",,"",potassium oxide,CHEBI:88321,"",8164801,,"","","",,"",,Potash,Q4374698,,""
1214-39-7,"","","","","",,benzyladenine,N-benzyladenine,CHEBI:29022,"",56177,,"","","",,"",62389,"","",,""
12141-46-7,"","","","","",,"","","","",8117840,,"","","",,"",56841952,"","",,""
121451-02-3,"","","","","",,noviflumuron,noviflumuron,CHEBI:39386,"",8004099,,"","","",,"",,"","",,""
1215-42-5,"","","","","",,"","","","",22903579,,"","","",,"",235166,"","",,""
12158-97-3,"","","","","",,"","","","",,,"","","",,"",,"","",,""
121584-18-7,"","","","","",,"",SDZ PSC 833,CHEBI:8985,"",,,"","","",,"",,"","",,""
1216-96-2,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12167-76-9,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1217-97-6,"","","","","",,"","","","",20143133,,"","","",,"",,"","",,""
1217-98-7,"","","","","",,"","","","",4940784,,"","","",,"",6436112,"","",,""
12172-73-5,"","","","","",,"",amosite asbestos,CHEBI:46678,"",,,"","","",,"",,"","",,""
12174-11-7,"","","","","",,"",Palygorskite,CHEBI:82365,"",,,"","","",,"",73415752,palygorskite,Q414065,,""
121776-33-8,"","","","","",,furilazole,furilazole,CHEBI:147435,"",,,"","","",,"",,"","",,""
1219-77-8,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12194-95-5,"","","","","",,"","","","",,,"","","",,"",,ammoniojarosite,Q3614465,,""
12196-80-4,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1219817-69-2,"","","","","",,"","","","",,,"","","",,"",,"","",,""
122-03-2,"","","","","",,"",cuminaldehyde,CHEBI:28671,"",21106431,,"","","",,"",326,cuminaldehyde,Q419952,,""
122-04-3,"","","","","",,"","","","",8188,,"","","",,"",8502,"","",,""
122-08-7,"","","","","",,"","","","",8190,,"","","",,"",8504,"","",,""
122-10-1,"","","","","",,"","","","",,,"","","",,"",,"","",,""
122-11-2,"","","","","",,"",sulfadimethoxine,CHEBI:32161,"",5132,,"","","",,"",5323,sulfadimethoxine,Q4921678,,""
122-15-6,"","","","","",,dimetan,"","","",,,"","","",,"",,"","",,""
122-18-9,"","","","","",,"",cetalkonium chloride,CHEBI:135523,"",,,"","","",,"",,"","",,""
122-20-3,"","","","","",,"","","","",23121,,"","","",,"",24730,"","",,""
122-25-8,"","","","","",,"","","","",60490,,"","","",,"",,"","",,""
122-28-1,"","","","","",,"","","","",28947,,"","","",,"",31206,"","",,""
122-32-7,"","","","","",,"",triolein,CHEBI:53753,"",,,"","","",,"",,"","",,""
122-36-1,"","","","","",,"","","","",2102858,,"","","",,"",21430984,"","",,""
122-39-4,"","","","","",,diphenylamine,diphenylamine,CHEBI:4640,"",11003,,"","","",,"",11487,diphenylamine,Q412265,,""
122-40-7,"","","","","",,"",alpha-Amylcinnamaldehyde,CHEBI:32318,"",,,"","","",,"",,"","",,""
122-42-9,"","","","","",,propham,propham,CHEBI:82035,"",,,"","","",,"",,"","",,""
122-48-5,"","","","","",,"",zingerone,CHEBI:68657,"",28952,,"","","",,"",31211,zingerone,Q1064625,,""
122-57-6,"","","","","",,"",benzylideneacetone,CHEBI:217301,"",15120,,"","","",,"",637759,benzylideneacetone,Q27225700,,""
122-59-8,"","","","","",,"",phenoxyacetic acid,CHEBI:8075,"",18107,,"","","",,"",19188,phenoxyacetic acid,Q904253,,""
122-60-1,"","","","","",,"",Phenyl glycidyl ether,CHEBI:82367,"",28958,,"","","",,"",31217,"","",,""
122-64-5,"","","","","",,"","","","",17615589,,"","","",,"",16683023,phenylmercuric DL-lactate,Q27257990,,""
122-65-6,"","","","","",,"","","","",,,"","","",,"",,"","",,""
122-66-7,"","","","","",,"","","","",28962,,"","","",,"",31222,"1,2-diphenylhydrazine",Q424993,,""
122-69-0,"","","","","",,"","","","",28964,,"","","",,"",1550890,"","",,""
122-70-3,"","","","","",,"","","","",28965,,"","","",,"",,"","",,""
122-72-5,"","","","","",,"",3-phenylpropyl acetate,CHEBI:81257,"",28966,,"","","",,"",31226,3-phenylpropyl acetate,Q27155198,,""
122-75-8,"","","","","",,"","","","",,,"","","",,"",,"","",,""
122-78-1,"","","","","",,"",phenylacetaldehyde,CHEBI:16424,"",13876539,,"","","",,"",998,phenylacetaldehyde,Q424998,,""
122-79-2,"","","","","",,"",phenyl acetate,CHEBI:8082,"",28969,,"","","",,"",31229,phenyl acetate,Q419645,,""
122-80-5,"","","","","",,"","","","",10297844,,"","","",,"",31230,p-aminoacetanilide,Q27280726,,""
122-85-0,"","","","","",,"","","","",66572,,"","","",,"",73942,"","",,""
122-87-2,"","","","","",,"",N-(p-hydroxyphenyl)glycine,CHEBI:55443,"",60494,,"","","",,"",67149,N-(4-hydroxyphenyl)glycine,Q4344989,,""
122-88-3,"","","","","",,4-CPA,(4-chlorophenoxy)acetic acid,CHEBI:1808,"",55876,,"","","",,"",26229,"","",,""
122-97-4,"","","","","",,"",3-Phenyl-1-propanol,CHEBI:88817,"",13871718,,"","","",,"",31234,3-phenyl-1-propanol,Q27160792,,""
122-99-6,"","","","","",,"",2-phenoxyethanol,CHEBI:64275,"",13848467,,"","","",,"",31236,"","",,""
1220-83-3,"","","","","",,"",Sulfamonomethoxine,CHEBI:32164,"",5141,,"","","",,"",5332,"","",,""
122008-78-0,"","","","","",,cyhalofop,"","","",11677311,,"","","",,"",15118048,"","",,""
122008-85-9,"","","","","",,cyhalofop-butyl,Cyhalofop-butyl,CHEBI:81863,"",,,"","","",,"",,"","",,""
12208-13-8,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1221-56-3,"","","","","",,"",Ipodate Sodium,CHEBI:5953,"",,,"","","",,"",,"","",,""
1222-05-5,"","","","","",,"",galaxolide,CHEBI:83784,"",82618,,"","","",,"",91497,"","",,""
1222-06-6,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12220-53-0,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12221-69-1,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12222-60-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1223-31-0,"","","","","",,"","","","",13988,,"","","",,"",14655,"","",,""
122302-63-0,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12232-99-4,"","","","","",,"","","","",74877,,"","","",,"",4063671,"","",,""
122320-73-4,"","","","","",,"",rosiglitazone,CHEBI:50122,"",70383,,"","","",,"",77999,"","",,""
12236-86-1,"","","","","",,"","","","",,,"","","",,"",72941500,"","",,""
12239-34-8,"","","","","",,"","","","",2103236,,"","","",,"",2825062,"","",,""
1224-63-1,"","","","","",,"","","","",4938430,,"","","",,"",6433255,"","",,""
12240-15-2,"","","","","",,"","","","",,,"","","",,"",15022,"","",,""
1224510-29-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
122453-73-0,"","","","","",,chlorfenapyr,chlorfenapyr,CHEBI:39347,"",82875,,"","","",,"",91778,"","",,""
122454-29-9,"","","","","",,tralopyril,tralopyril,CHEBI:141497,"",159609,,"","","",,"",183559,"","",,""
122467-32-7,"","","","","",,"","","","",,,"","","",,"",,"","",,""
122483-54-9,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12251-32-0,"","","","","",,"","","","",,,"","","",,"",72720458,"","",,""
122526-25-4,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12254-88-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
122548-33-8,"","","","","",,imazosulfuron,Imazosulfuron,CHEBI:81751,"",83451,,"","","",,"",,"","",,""
12255-04-8,"","","","","",,"","","","",,,"","","",,"",,"","",,""
122575-24-0,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12258-22-9,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12258-53-6,"","","","","",,"","","","",24755,,"","","",,"",26574,Borate,Q98505357,,""
1226-42-2,"","","","","",,"","","","",64201,,"","","",,"",71043,"","",,""
122636-64-0,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12264-18-5,"","","","","",,"",EDTA monocalcium salt,CHEBI:132317,"",,,"","","",,"",,"","",,""
122674-95-7,"","","","","",,"","","","",,,"","","",,"",,"","",,""
122674-96-8,"","","","","",,"","","","",,,"","","",,"",,"","",,""
122730-56-7,"","","","","",,"","","","",,,"","","",,"",,"","",,""
122738-69-6,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12274-95-2,"","","","","",,"","","","",,,"","","",,"",,"","",,""
122784-33-2,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1227849-60-6,"","","","","",,"","","","",,,"","","",,"",,"","",,""
122792-40-9,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12280-03-4,"","","","","",,"","","","",,,"","","",,"",,"","",,""
122818-84-2,"","","","","",,"","","","",,,"","","",,"",,"","",,""
122836-35-5,"","","","","",,sulfentrazone,sulfentrazone,CHEBI:9339,"",77887,,"","","",,"",86369,"","",,""
1228766-42-4,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1229-35-2,"","","","","",,"",methdilazine hydrochloride,CHEBI:140855,"",,,"","","",,"",,"","",,""
12298-68-9,"","","","","",,"",Iodine aqueous,CHEBI:5948,"",94785,,"","","",,"",105053,"","",,""
123-01-3,"","","","","",,"","","","",28977,,"","","",,"",31237,phenyldodecane,Q414469,,""
123-02-4,"","","","","",,"","","","",28978,,"","","",,"",31238,tridecylbenzene,Q27276944,,""
123-03-5,"","","","","",,"",cetylpyridinium chloride,CHEBI:32915,"",,,"","","",,"",,"","",,""
123-05-7,"","","","","",,"",2-ethylhexanal,CHEBI:87809,"",28981,,"","","",,"",31241,2-ethylhexanal,Q209379,,""
123-07-9,"","","","","",,"",4-ethylphenol,CHEBI:49584,"",28982,,"","","",,"",31242,4-ethylphenol,Q409853,,""
123-08-0,"","","","","",,"",4-hydroxybenzaldehyde,CHEBI:17597,"",123,,"","","",,"",126,4-hydroxybenzaldehyde,Q1953888,,""
123-11-5,"","","","","",,"",p-methoxybenzaldehyde,CHEBI:28235,"",21105937,,"","","",,"",31244,p-anisaldehyde,Q174937,,""
123-15-9,"","","","","",,"",2-Methylpentanal,CHEBI:89986,"",28985,,"","","",,"",31245,2-methylvaleraldehyde,Q27162196,,""
123-19-3,"","","","","",,"",4-heptanone,CHEBI:89484,"",28986,,"","","",,"",31246,4-heptanone,Q1287920,,""
123-25-1,"","","","","",,"","","","",13865630,,"","","",,"",31249,diethyl succinate,Q1978959,,""
123-30-8,"","","","","",,"",4-aminophenol,CHEBI:17602,"",392,,"","","",,"",403,p-aminophenol,Q2548040,,""
123-31-9,"","","","","",,"",hydroquinone,CHEBI:17594,"",764,,"","","",,"",785,hydroquinone,Q419164,,""
123-34-2,"","","","","",,"","","","",,,"","","",,"",,"","",,""
123-35-3,"","","","","",,"",beta-myrcene,CHEBI:17221,"",28993,,"","","",,"",31253,myrcene,Q424577,,""
123-38-6,"","","","","",,"",propanal,CHEBI:17153,"",512,,"","","",,"",527,"","",,""
123-39-7,"","","","","",,"",N-methylformamide,CHEBI:7438,"",28994,,"","","",,"",31254,N-methylformamide,Q138742,,""
123-42-2,"","","","","",,"",diacetone alcohol,CHEBI:55381,"",13838151,,"","","",,"",31256,diacetone alcohol,Q421486,,""
123-43-3,"","","","","",,"",sulfoacetic acid,CHEBI:50519,"",3546923,,"","","",,"",31257,Sulfoacetate,Q56298663,,""
123-51-3,"","","","","",,"",isoamylol,CHEBI:15837,"",29000,,"","","",,"",31260,isoamyl alcohol,Q223101,,""
123-54-6,"","","","","",,"",acetylacetone,CHEBI:14750,"",29001,,"","","",,"",31261,"2,4-Pentanedione",Q60568751,,""
123-56-8,"","","","","",,"",succinimide,CHEBI:9307,"",10955,,"","","",,"",11439,succinimide,Q419430,,""
123-62-6,"","","","","",,"","","","",,,"","","",,"",,"","",,""
123-66-0,"","","","","",,"",ethyl hexanoate,CHEBI:86055,"",29005,,"","","",,"",31265,"","",,""
123-69-3,"","","","","",,"","","","",29007,,"","","",,"",5365703,"","",,""
123-72-8,"","","","","",,"",butanal,CHEBI:15743,"",256,,"","","",,"",261,butyraldehyde,Q410603,,""
123-73-9,"","","","","",,"",crotonaldehyde,CHEBI:41607,"",394562,,"","","",,"",447466,(2E)-crotonaldehyde,Q416036,,""
123-75-1,"","","","","",,"",pyrrolidine,CHEBI:33135,"",29008,,"","","",,"",31268,pyrrolidine,Q408898,,""
123-76-2,"","","","","",,"",4-oxopentanoic acid,CHEBI:45630,"",11091,,"","","",,"",11579,"","",,""
123-79-5,"","","","","",,"","","","",29011,,"","","",,"",31271,"","",,""
123-82-0,"","","","","",,"",tuaminoheptane,CHEBI:134753,"",5401,,"","","",,"",5603,"","",,""
123-85-3,"","","","","",,"","","","",60508,,"","","",,"",67163,"","",,""
123-86-4,"","","","","",,"",butyl acetate,CHEBI:31328,"",29012,,"","","",,"",31272,"","",,""
123-88-6,"","","","","",,2-methoxyethylmercury chloride,"","","",21442039,,"","","",,"",88344564,2-methoxyethylmercury chloride,Q57207804,,""
123-91-1,"","","","","",,"","1,4-dioxane",CHEBI:47032,"",29015,,"","","",,"",31275,"1,4-Dioxane",Q84790971,,""
123-92-2,"","","","","",,"",isoamyl acetate,CHEBI:31725,"",29016,,"","","",,"",31276,isoamyl acetate,Q221307,,""
123-93-3,"","","","","",,"",thiodiacetic acid,CHEBI:35012,"",29017,,"","","",,"",31277,"","",,""
123-95-5,"","","","","",,"",butyl octadecanoate,CHEBI:85983,"",29018,,"","","",,"",31278,"","",,""
123-96-6,"","","","","",,"",octan-2-ol,CHEBI:37869,"",18920,,"","","",,"",20083,2-Octanol,Q72497418,,""
123-99-9,"","","","","",,"",nonanedioic acid,CHEBI:48131,"",2179,,"","","",,"",2266,Azelaic acid,Q72819478,,""
123012-99-7,"","","","","",,"","","","",,,"","","",,"",,"","",,""
123017-92-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
123019-22-7,"","","","","",,"","","","",,,"","","",,"",,"","",,""
123219-97-6,"","","","","",,"","","","",,,"","","",,"",,"","",,""
123274-88-4,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12328-56-2,"","","","","",,"","","","",,,"","","",,"",,"","",,""
123297-52-9,"","","","","",,"","","","",,,"","","",,"",,"","",,""
123312-89-0,"","","","","",,pymetrozine,pymetrozine,CHEBI:39311,"",7850487,,"","","",,"",,"","",,""
123313-07-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1233324-12-3,"","","","","",,"","","","",,,"","","",,"",,"","",,""
123339-38-8,"","","","","",,"","","","",,,"","","",,"",,"","",,""
123342-93-8,"","","","","",,pyrithiobac,"","","",82878,,"","","",,"",91781,"","",,""
123342-95-0,"","","","","",,"","","","",,,"","","",,"",,"","",,""
123343-16-8,"","","","","",,pyrithiobac-sodium,Pyrithiobac-sodium,CHEBI:81973,"",,,"","","",,"",,"","",,""
123343-19-1,"","","","","",,"","","","",,,"","","",,"",,"","",,""
123441-03-2,"","","","","",,"",rivastigmine,CHEBI:8874,"",70377,,"","","",,"",,"","",,""
123465-35-0,"","","","","",,"","","","",,,"","","",,"",,Phospholipids,Q78337817,,""
1235-15-0,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1235-78-5,"","","","","",,"","","","",10299271,,"","","",,"",,"","",,""
1235982-65-6,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12360-50-8,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12360-51-9,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12360-52-0,"","","","","",,"","","","",55600,,"","","",,"",61697,"","",,""
123653-11-2,"","","","","",,"",NS-398,CHEBI:73458,"",4393,,"","","",,"",4553,"","",,""
123759-54-6,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12379-49-6,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1238388-56-1,"","","","","",,"","","","",,,"","","",,"",,"","",,""
123841-82-7,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12385-15-8,"","","","","",,"","","","",,,"","","",,"",,carbide,Q241906,,""
1238777-58-6,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12389-75-2,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1239-45-8,"","","","","",,"",ethidium bromide,CHEBI:4883,"",,,"","","",,"",,"","",,""
1239-79-8,"","","","","",,"","","","",8037957,,"","","",,"",,"","",,""
12397-12-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
123997-26-2,"","","","","",,eprinomectin,eprinomectin,CHEBI:82596,"",16738624,,"","","",,"",,"","",,""
123997-59-1,"","","","","",,"","","","",32817267,,"","","",,"",126455999,"","",,""
123997-64-8,"","","","","",,"","","","",,,"","","",,"",,"","",,""
124-02-7,"","","","","",,"","","","",21106561,,"","","",,"",31279,"","",,""
124-03-8,"","","","","",,"","","","",29020,,"","","",,"",31280,"","",,""
124-04-9,"","","","","",,"",adipic acid,CHEBI:30832,"",191,,"","","",,"",196,"","",,""
124-07-2,"","","","","",,"",octanoic acid,CHEBI:28837,"",370,,"","","",,"",379,caprylic acid,Q409564,,""
124-09-4,"","","","","",,"","hexane-1,6-diamine",CHEBI:39618,"",13835579,,"","","",,"",16402,hexamethylenediamine,Q424936,,""
124-10-7,"","","","","",,"",methyl tetradecanoate,CHEBI:89199,"",29024,,"","","",,"",31284,methyl myristate,Q27161384,,""
124-11-8,"","","","","",,"",1-nonene,CHEBI:77443,"",29025,,"","","",,"",31285,1-nonene,Q15687205,,""
124-12-9,"","","","","",,"","","","",29026,,"","","",,"",31286,octanenitrile,Q2089283,,""
124-13-0,"","","","","",,"",octanal,CHEBI:17935,"",441,,"","","",,"",454,"","",,""
124-17-4,"","","","","",,"","","","",,,"","","",,"",,"","",,""
124-18-5,"","","","","",,"",decane,CHEBI:41808,"",14840,,"","","",,"",15600,Decane,Q15804892,,""
124-19-6,"","","","","",,"",nonanal,CHEBI:84268,"",29029,,"","","",,"",31289,nonanal,Q419668,,""
124-20-9,"","","","","",,"",spermidine,CHEBI:16610,"",1071,,"","","",,"",,"","",,""
124-22-1,"","","","","",,"","","","",12994,,"","","",,"",13583,"","",,""
124-25-4,"","","","","",,"",tetradecanal,CHEBI:84067,"",7917,,"","","",,"",8209,myristyl alcohol,Q161683,,""
124-30-1,"","","","","",,"",octadecan-1-amine,CHEBI:63866,"",15016,,"","","",,"",15793,stearamine,Q2013790,,""
124-38-9,"","","","","",,"",carbon dioxide,CHEBI:16526,"",274,,"","","",,"",280,Carbon dioxide,Q81087345,,""
124-40-3,"","","","","",,"",dimethylamine,CHEBI:17170,"",654,,"","","",,"",674,"","",,""
124-58-3,"","","","","",,MAA,methylarsonic acid,CHEBI:29852,"",8604,,"","","",,"",8948,methylarsonic acid,Q1976186,,""
124-63-0,"","","","","",,"","","","",29037,,"","","",,"",31297,methanesulfonyl chloride,Q417706,,""
124-64-1,"","","","","",,"","","","",,,"","","",,"",,"","",,""
124-65-2,"","","","","",,sodium cacodylate,sodium dimethylarsinate,CHEBI:62956,"",,,"","","",,"",,"","",,""
124-83-4,"","","","","",,"","","","",,,"","","",,"",,"","",,""
124-87-8,"","","","","",,"",picrotoxin,CHEBI:134126,"",,,"","","",,"",,"","",,""
124-90-3,"","","","","",,"",oxycodone hydrochloride,CHEBI:7859,"",,,"","","",,"",,"","",,""
124-94-7,"","","","","",,"",triamcinolone,CHEBI:9667,"",,,"","","",,"",,"","",,""
124027-07-2,"","","","","",,"","","","",,,"","","",,"",,"","",,""
124027-08-3,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1240600-40-1,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12407-86-2,"","","","","",,trimethacarb,trimethacarb,CHEBI:38569,"",,,"","","",,"",,"","",,""
12408-10-5,"","","","","",,"",tetrachlorobenzene,CHEBI:26888,"",21106163,,"","","",,"",12463,tetrachlorobenzene,Q27077235,,""
124083-20-1,"","","","","",,"","","","",8016042,,"","","",,"",,"","",,""
1241-94-7,"","","","","",,"","","","",14040,,"","","",,"",14716,"","",,""
12415-33-7,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12427-38-2,"","","","","",,maneb,maneb,CHEBI:52497,"",,,"","","",,"",,"","",,""
124377-60-2,"","","","","",,"","","","",3965740,,"","","",,"",4779100,"2-(2,6-dimethylphenoxy)propanoic acid",Q82211531,,""
124427-34-5,"","","","","",,"","","","",143948,,"","","",,"",164154,"","",,""
124428-11-1,"","","","","",,"","","","",,,"","","",,"",,"","",,""
124439-07-2,"","","","","",,"","","","",,,"","","",,"",,"","",,""
124449-51-0,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12447-61-9,"","","","","",,"","","","",,,"","","",,"",,"","",,""
124508-66-3,"","","","","",,"","","","",,,"","","",,"",,"","",,""
124759-07-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
124791-77-1,"","","","","",,"","","","",,,"","","",,"",,"","",,""
124847-95-6,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1249-84-9,"","","","","",,"","","","",,,"","","",,"",,"","",,""
124903-73-7,"","","","","",,"","","","",,,"","","",,"",,"","",,""
124904-93-4,"","","","","",,"",ganirelix,CHEBI:135910,"",29789984,,"","","",,"",,"","",,""
125-04-2,"","","","","",,"",Hydrocortisone Sodium Succinate,CHEBI:5782,"",,,"","","",,"",,"","",,""
125-12-2,"","","","","",,"","","","",,,"","","",,"",,"","",,""
125-20-2,"","","","","",,"","","","",29054,,"","","",,"",,"","",,""
125-29-1,"","","","","",,"",hydrocodone,CHEBI:5779,"",,,"","","",,"",,"","",,""
125-30-4,"","","","","",,"","","","",,,"","","",,"",,"","",,""
125-33-7,"","","","","",,"",primidone,CHEBI:8412,"",4740,,"","","",,"",4909,"","",,""
125-46-2,"","","","","",,"",usnic acid,CHEBI:38319,"",5444,,"","","",,"",5646,usnic acid,Q425335,,""
125-67-7,"","","","","",,potassium gibberellate,"","","",,,"","","",,"",,"","",,""
125-71-3,"","","","","",,"",dextromethorphan,CHEBI:4470,"",,,"","","",,"",,"","",,""
125-72-4,"","","","","",,"","","","",,,"","","",,"",,"","",,""
125-79-1,"","","","","",,"","","","",29065,,"","","",,"",31331,"","",,""
125-84-8,"","","","","",,"",aminoglutethimide,CHEBI:2654,"",2060,,"","","",,"",2145,"","",,""
12502-94-2,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1250264-70-0,"","","","","",,"","","","",,,"","","",,"",,"","",,""
125116-23-6,"","","","","",,metconazole,metconazole,CHEBI:81773,"",77764,,"","","",,"",,"","",,""
12519-36-7,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1252-69-3,"","","","","",,"","","","",,,"","","",,"",,"","",,""
125220-74-8,"","","","","",,"","","","",11182390,,"","","",,"",112416,"","",,""
125225-28-7,"","","","","",,ipconazole,ipconazole,CHEBI:81770,"",77765,,"","","",,"",86211,ipconazole,Q17153868,,""
125280-42-4,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12536-40-2,"","","","","",,"","","","",74787,,"","","",,"",82879,sodium arsenide,Q18056539,,""
1253795-04-8,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12538-70-4,"","","","","",,"","","","",,,"","","",,"",,"","",,""
125385-13-9,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1253854-35-1,"","","","","",,"","","","",,,"","","",,"",,"","",,""
125401-75-4,"","","","","",,bispyribac,Bispyribac acid,CHEBI:3129,"",391332,,"","","",,"",,"","",,""
125401-92-5,"","","","","",,bispyribac-sodium,Bispyribac-sodium,CHEBI:81757,"",,,"","","",,"",,"","",,""
12542-36-8,"","","","","",,"","","","",197885,,"","","",,"",,"","",,""
1254203-97-8,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1255-49-8,"","","","","",,"",Testosterone phenylpropionate,CHEBI:35002,"",,,"","","",,"",,"","",,""
1255526-34-1,"","","","","",,"","","","",,,"","","",,"",,"","",,""
125590-73-0,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1255929-52-2,"","","","","",,"","","","",71047253,,"","","",,"",,"","",,""
1256-86-6,"","","","","",,"",cholesterol sulfate,CHEBI:41321,"",,,"","","",,"",,"","",,""
125621-81-0,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1256242-26-8,"","","","","",,"","","","",,,"","","",,"",,Requiem,Q1356210,,""
125695-78-5,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1257-78-9,"","","","","",,"","","","",82620,,"","","",,"",91499,prochlorperazine edisylate,Q27286529,,""
125753-37-9,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1258-84-0,"","","","","",,"",Pristimerin,CHEBI:8416,"",,,"","","",,"",,"","",,""
125807-27-4,"","","","","",,"","","","",,,"","","",,"",,"","",,""
12584-58-6,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1259-21-8,"","","","","",,"","","","",,,"","","",,"",,"","",,""
1259394-86-9,"","","","","",,"","","","",,,"","","",,"",,"","",,""
125941-87-9,"","","","","",,"","","","",,,"","","",,"",,"","",,""
126-06-7,"","","","","",,"","","","",29069,,"","","",,"",31335,"3-bromo-1-chloro-5,5-dimethyl-2,4-imidazolidinedione",Q2078825,,""
126-07-8,"","","","","",,griseofulvin,griseofulvin,CHEBI:27779,"",,,"","","",,"",,"","",,""
126-11-4,"","","","","",,"","","","",29070,,"","","",,"",31337,"","",,""
126-14-7,"","","","","",,"","","","",,,"","","",,"",,"","",,""
126-15-8,"","","","","",,"","","","",29074,,"","","",,"",31341,"","",,""
126-22-7,"","","","","",,butonate,Butonate,CHEBI:82106,"",29076,,"","","",,"",31343,"","",,""
126-33-0,"","","","","",,"",sulfolane,CHEBI:74794,"",29080,,"","","",,"",31347,sulfolane,Q416239,,""
